lon,lat
-1.609553,51.208527
-1.609531,51.208348
-1.609387,51.208368
-1.609448,51.208188
-1.609407,51.208046
-1.609337,51.207882
-1.609180,51.207923
-1.609281,51.207691
-1.609130,51.207587
-1.608993,51.207623
-1.609017,51.207487
-1.608836,51.207407
-1.608741,51.207325
-1.608587,51.207128
-1.608563,51.206969
-1.608363,51.206930
-1.608247,51.206823
-1.608216,51.206670
-1.608079,51.206665
-1.608012,51.206490
-1.607850,51.206380
-1.607728,51.206277
-1.607499,51.206145
-1.607266,51.206028
-1.607031,51.205980
-1.606795,51.206032
-1.606583,51.206088
-1.606199,51.205845
-1.605965,51.205766
-1.605729,51.205745
-1.605494,51.205746
-1.605258,51.205758
-1.605022,51.205795
-1.604786,51.205848
-1.604549,51.205923
-1.604312,51.206020
-1.604172,51.206060
-1.603312,51.206438
-1.602989,51.206564
-1.602709,51.206679
-1.602479,51.206773
-1.602242,51.206851
-1.602005,51.206927
-1.601768,51.207001
-1.601531,51.207068
-1.601295,51.207133
-1.601058,51.207195
-1.600854,51.207244
-1.600518,51.207323
-1.600306,51.207374
-1.600069,51.207427
-1.599833,51.207474
-1.599597,51.207522
-1.599360,51.207569
-1.599124,51.207612
-1.598888,51.207650
-1.598684,51.207682
-1.597451,51.207804
-1.597215,51.207822
-1.597029,51.207828
-1.596636,51.207857
-1.596400,51.207875
-1.596165,51.207884
-1.595929,51.207890
-1.595694,51.207898
-1.595458,51.207902
-1.595223,51.207899
-1.594987,51.207897
-1.594752,51.207893
-1.594516,51.207891
-1.594280,51.207905
-1.594045,51.207931
-1.593808,51.207981
-1.593572,51.208045
-1.593335,51.208116
-1.593098,51.208193
-1.592860,51.208310
-1.592637,51.208455
-1.592133,51.208892
-1.591991,51.209037
-1.591822,51.209253
-1.591674,51.209408
-1.591543,51.209558
-1.591412,51.209707
-1.591281,51.209856
-1.591150,51.210007
-1.591019,51.210156
-1.590898,51.210300
-1.590778,51.210456
-1.590657,51.210617
-1.590544,51.210775
-1.590458,51.210996
-1.590343,51.211459
-1.590319,51.211598
-1.590306,51.211712
-1.590304,51.211843
-1.590301,51.211991
-1.590298,51.212138
-1.590349,51.212328
-1.590392,51.212513
-1.590481,51.212781
-1.590541,51.212925
-1.590635,51.213071
-1.590750,51.213216
-1.590887,51.213357
-1.591066,51.213503
-1.591289,51.213628
-1.592418,51.213930
-1.592653,51.213944
-1.592889,51.213945
-1.593318,51.213903
-1.593511,51.213883
-1.593747,51.213843
-1.593983,51.213794
-1.594220,51.213729
-1.594457,51.213655
-1.594694,51.213575
-1.594931,51.213494
-1.595167,51.213423
-1.595404,51.213356
-1.595641,51.213288
-1.595877,51.213239
-1.596075,51.213222
-1.596937,51.213203
-1.597141,51.213220
-1.597375,51.213267
-1.597609,51.213344
-1.597843,51.213446
-1.598077,51.213551
-1.598311,51.213628
-1.598545,51.213701
-1.598779,51.213775
-1.599013,51.213848
-1.599248,51.213919
-1.599588,51.214025
-1.599759,51.214043
-1.599994,51.214088
-1.600229,51.214135
-1.600463,51.214179
-1.600698,51.214202
-1.600933,51.214221
-1.601169,51.214238
-1.601404,51.214250
-1.601640,51.214245
-1.601875,51.214245
-1.602282,51.214210
-1.603100,51.214007
-1.603274,51.213843
-1.603426,51.213689
-1.603579,51.213537
-1.603731,51.213391
-1.603895,51.213231
-1.604377,51.213003
-1.604595,51.213002
-1.604830,51.213001
-1.605066,51.213001
-1.605301,51.212997
-1.605644,51.212958
-1.605853,51.212511
-1.605901,51.212361
-1.605940,51.212175
-1.605987,51.212004
-1.606032,51.211820
-1.606107,51.211616
-1.606191,51.211443
-1.606503,51.211032
-1.607047,51.210529
-1.607299,51.210343
-1.607512,51.210235
-1.607750,51.210121
-1.607987,51.210013
-1.608225,51.209906
-1.608462,51.209789
-1.608683,51.209604
-1.608876,51.209495
-1.608942,51.209315
-1.609078,51.209330
-1.609137,51.209145
-1.609236,51.209035
-1.609425,51.208933
-1.609379,51.208811
-1.609534,51.208793
-1.609382,51.208640
